country,happinessrank,happinessscore,whiskerhigh,whiskerlow,economysituation,family,healthlifeexpectancy,freedom,fenerosity,governmentcorruption.,dystopiaresidual
Ivory Coast,128,4.180000,4.275183,4.084817,0.603049,0.904780,0.048642,0.447706,0.201237,0.130062,1.844964
Cambodia,129,4.168000,4.278518,4.057483,0.601765,1.006238,0.429783,0.633376,0.385923,0.068106,1.042941
Sudan,130,4.139000,4.345747,3.932253,0.659517,1.214009,0.290921,0.014996,0.182317,0.089848,1.687066
Ghana,131,4.120000,4.222707,4.017293,0.667225,0.873665,0.295638,0.423026,0.256924,0.025336,1.577868
Ukraine,132,4.096000,4.185410,4.006590,0.894652,1.394538,0.575904,0.122975,0.270061,0.023029,0.814382
Uganda,133,4.081000,4.195800,3.966200,0.381431,1.129828,0.217633,0.443186,0.325766,0.057070,1.526363
Burkina Faso,134,4.032000,4.124059,3.939941,0.350228,1.043280,0.215844,0.324368,0.250865,0.120328,1.727213
Niger,135,4.028000,4.111947,3.944053,0.161925,0.993025,0.268505,0.363659,0.228674,0.138573,1.873983
Malawi,136,3.970000,4.077479,3.862521,0.233442,0.512569,0.315090,0.466915,0.287170,0.072712,2.081786
Chad,137,3.936000,4.034712,3.837289,0.438013,0.953856,0.041135,0.162342,0.216114,0.053582,2.071238
Zimbabwe,138,3.875000,3.978700,3.771300,0.375847,1.083096,0.196764,0.336384,0.189143,0.095375,1.597970
Lesotho,139,3.808000,4.044344,3.571656,0.521021,1.190095,0.000000,0.390661,0.157497,0.119095,1.429835
Angola,140,3.795000,3.951642,3.638358,0.858428,1.104412,0.049869,0.000000,0.097926,0.069720,1.614482
Afghanistan,141,3.794000,3.873661,3.714338,0.401477,0.581543,0.180747,0.106180,0.311871,0.061158,2.150801
Botswana,142,3.766000,3.874123,3.657877,1.122094,1.221555,0.341756,0.505196,0.099348,0.098583,0.377914
Benin,143,3.657000,3.745784,3.568217,0.431085,0.435300,0.209930,0.425963,0.207948,0.060929,1.885631
Madagascar,144,3.644000,3.714319,3.573681,0.305809,0.913020,0.375223,0.189197,0.208733,0.067232,1.584613
Haiti,145,3.603000,3.734715,3.471285,0.368610,0.640450,0.277321,0.030370,0.489204,0.099872,1.697168
Yemen,146,3.593000,3.692750,3.493250,0.591683,0.935382,0.310081,0.249464,0.104125,0.056767,1.345601
South Sudan,147,3.591000,3.725539,3.456462,0.397249,0.601323,0.163486,0.147062,0.285671,0.116794,1.879567
Liberia,148,3.533000,3.653756,3.412244,0.119042,0.872118,0.229918,0.332881,0.266550,0.038948,1.673286
Guinea,149,3.507000,3.584428,3.429572,0.244550,0.791245,0.194129,0.348588,0.264815,0.110938,1.552312
Togo,150,3.495000,3.594038,3.395962,0.305445,0.431883,0.247106,0.380426,0.196896,0.095665,1.837229
Rwanda,151,3.471000,3.543030,3.398970,0.368746,0.945707,0.326425,0.581844,0.252756,0.455220,0.540061
Syria,152,3.462000,3.663669,3.260331,0.777153,0.396103,0.500533,0.081539,0.493664,0.151347,1.061574
Tanzania,153,3.349000,3.461430,3.236570,0.511136,1.041990,0.364509,0.390018,0.354256,0.066035,0.621130
Burundi,154,2.905000,3.074690,2.735310,0.091623,0.629794,0.151611,0.059901,0.204435,0.084148,1.683024
Central African Republic,155,2.693000,2.864884,2.521116,0.000000,0.000000,0.018773,0.270842,0.280876,0.056565,2.066005
